ecpay_payment_checkout_invalid_payment,"Invalid payment method: %s"
ecpay_payment_checkout_invalid_order,"Invalid order"
ecpay_payment_text_credit,"Visa/MC"
ecpay_payment_text_credit_3,"Credit(3 Installments)"
ecpay_payment_text_credit_6,"Credit(6 Installments)"
ecpay_payment_text_credit_12,"Credit(12 Installments)"
ecpay_payment_text_credit_18,"Credit(18 Installments)"
ecpay_payment_text_credit_24,"Credit(24 Installments)"
ecpay_payment_text_webatm,"WEB-ATM"
ecpay_payment_text_atm,"ATM"
ecpay_payment_text_cvs,"CVS"
ecpay_payment_text_barcode,"BARCODE"
ecpay_payment_redirect_text_item_name,"A Package Of Online Goods"
ecpay_payment_order_comment_payment_method,"Payment Methods: %s"
ecpay_payment_order_comment_payment_result,"Payment Result : (%s)%s"
ecpay_payment_order_comment_atm,"Result : (%s)%s, Bank : %s, Virtual Account : %s, Deadline : %s"
ecpay_payment_order_comment_cvs,"Result : (%s)%s, Trade Code : %s, Deadline : %s"
ecpay_payment_order_comment_barcode,"Result : (%s)%s, Deadline : %s, BARCODE 1 : %s, BARCODE 2 : %s, BARCODE 3 : %s"
ecpay_payment_order_comment_payment_failure,"Paid Failed, Error : %s"
